"Gene.Symbol","P.Value","adj.P.Val","logFC"
"POU6F1",0.28518345908801,0.424737245833669,0.16847542072962
"PPA1",0.00248376660405576,0.0109162202353457,-0.609001860820237
"PPA2",0.16667579206659,0.286057996177912,-0.266535012452736
"PPAN",0.199021305334137,0.325906050172045,-0.189352713580876
"PPARA",0.726862288995108,0.813924227066533,-0.0513892515409758
"PPARD",3.62343349527757e-05,0.00035702898040135,-0.602151449540741
"PPARG",0.0560278129587824,0.125830791902211,-0.390350606534357
"PPARGC1A",6.38712631826152e-06,8.84226702347017e-05,0.648633413907191
"PPARGC1B",0.178511755844617,0.300159340171877,-0.151950673065167
"PPAT",0.204302692890075,0.33234522966049,0.200883689764969
"PPBP",0.152058101723497,0.267529383872178,-0.616020160709049
"PPCDC",0.0149656448665795,0.0453262768705011,-0.272280497599406
"PPCS",0.000535572818000655,0.0031687207634587,-0.557688413481189
"PPDPF",0.00452799339100631,0.0175367929710574,-0.876446579808931
"PPEF1",0.0666322743544326,0.143480819440327,-0.329344157304413
"PPFIA1",0.422778196334929,0.563184105486846,0.0973934464299736
"PPFIA2",0.454871963792984,0.591962935522291,-0.265899770030258
"PPFIA3",0.354919279450355,0.497830106452464,0.172285156517574
"PPFIA4",0.0353311253419722,0.088180079476048,0.447740059612487
"PPFIBP1",0.000104181300743521,0.000827849260746902,-0.587305433909411
"PPFIBP2",0.0158007716923383,0.0472926086583217,-0.366954856014457
"PPHLN1",0.54221422582302,0.667085981492583,0.0566598448822638
"PPIA",0.0844684073925649,0.172278251324118,-0.31971937646877
"PPIB",1.08793565411879e-05,0.000135875518953868,-0.900134865209657
"PPIC",0.325820883507494,0.467392562179569,-0.253022590860105
"PPID",0.284628906169708,0.42404477553028,-0.131841132715979
"PPIE",0.988220224021428,0.992440927754386,-0.00169235094938274
"PPIF",0.18144761012935,0.303730499579051,-0.256134299610218
"PPIG",0.609062291769566,0.724127610968505,0.0492753324066635
"PPIH",0.446332548507885,0.584772884786312,-0.119926727242121
"PPIL1",0.373501025852426,0.516683570339816,-0.155351207100616
"PPIL2",0.0255772913465263,0.0686499454179769,-0.287364864879876
"PPIL3",0.662656622298011,0.766187462482703,0.063032071468811
"PPIL4",0.0272075906403998,0.072152187140869,0.234302846023235
"PPIL6",0.220570182857707,0.351793547067554,0.150925289450689
"PPIP5K1",0.357561434796076,0.50044003784467,0.118955984073251
"PPIP5K2",0.453543421146882,0.590977359595169,0.087245641325992
"PPL",0.861141799174629,0.911289436167138,-0.0443569837253082
"PPM1A",0.809375514984942,0.875920405652114,0.0305346376934372
"PPM1B",0.015084635701757,0.0456243347214124,-0.43716854988371
"PPM1D",2.51447801282176e-09,1.24274472232423e-07,0.686782058172115
"PPM1E",0.0363857512052769,0.0902461999288305,0.524153132758084
"PPM1F",0.000184845589307533,0.00132255357328889,-0.531439210647961
"PPM1G",0.113009519951791,0.214820521819187,-0.217332109152195
"PPM1H",1.89886256987914e-06,3.22059543409337e-05,-1.10268311396547
"PPM1J",0.000138927225870909,0.00104676964970211,-0.749186529758331
"PPM1K",2.17884609849752e-05,0.000240665570125146,-0.769044429074639
"PPM1L",3.70265972882027e-06,5.56798220267071e-05,0.621701043131799
"PPM1M",0.103915267663423,0.201637957322104,-0.257834647854403
"PPM1N",0.0125082577972979,0.0394383691093592,0.28642408689223
"PPME1",0.000976781275888949,0.00517189626671015,-0.501168927394956
"PPOX",0.681405911466895,0.780041404168884,0.067815055573445
"PPP1CA",0.000926841016066814,0.00496027543638393,-0.49585382545099
"PPP1CB",0.000827924156375046,0.00452254663244785,-0.591434577618604
"PPP1CC",0.0410338208438307,0.0988825878377964,-0.277646887428298
"PPP1R1A",0.0253851897669048,0.0682405612320449,0.482786285101787
"PPP1R1B",0.00290912416571361,0.0123888007948684,-1.44264587894966
"PPP1R2",0.00239421581028863,0.0105857080227548,-0.414447070967943
"PPP1R3B",0.164320528988504,0.28315459575534,0.253966824735275
"PPP1R3C",0.255100296012322,0.391286713720907,0.316958305810699
"PPP1R3D",0.0313393848251476,0.0806680010095743,-0.447705000297602
"PPP1R3E",0.002341904660265,0.0104327602508716,0.426322627005003
"PPP1R3F",0.0519399754205228,0.118590036567764,-0.270892602737286
"PPP1R3G",0.734382990019017,0.819625287458118,0.0423003980053904
"PPP1R7",0.000546710883237352,0.00322846506733655,-0.492404935626307
"PPP1R8",0.712874947606914,0.802817270575333,0.0430729856193143
"PPP1R9A",0.84054794192402,0.897513658367887,-0.0340989194252638
"PPP1R9B",0.282614826189637,0.422086371632854,-0.170028611992087
"PPP1R10",0.874609314196887,0.919659320903396,0.0176973046385558
"PPP1R11",0.000120530393977379,0.000931993614417014,-0.537080621437893
"PPP1R12A",0.497356801030817,0.628284916173972,-0.0796479180488811
"PPP1R12B",0.167302144608838,0.286827439481281,-0.225249970795525
"PPP1R12C",0.0985721667202008,0.193736253208054,0.287634633016477
